Date,Open,High,Low,Close,Adj Close,Volume
2018-11-01,28.850000,29.780001,28.760000,28.799999,28.587381,15868737
2018-11-02,29.980000,31.129999,29.799999,31.100000,30.870403,22380836
2018-11-05,31.000000,31.770000,30.049999,30.730000,30.503134,17199273
2018-11-06,30.600000,30.980000,30.080000,30.670000,30.443577,8812391
2018-11-07,30.690001,31.480000,30.350000,30.700001,30.473356,11070654
2018-11-08,31.049999,31.900000,30.620001,31.299999,31.068924,12364294
2018-11-09,30.950001,31.459999,30.370001,31.000000,30.771141,8929542
2018-11-12,31.000000,31.879999,30.549999,31.740000,31.505676,11933054
2018-11-13,31.309999,32.700001,31.209999,32.490002,32.250141,12798459
2018-11-14,32.389999,32.599998,32.000000,32.180000,31.942429,10000002
2018-11-15,32.180000,32.279999,31.270000,31.799999,31.565233,19918565
2018-11-16,31.510000,31.600000,28.719999,29.600000,29.381475,38636702
2018-11-19,29.600000,30.879999,29.309999,30.469999,30.245052,25116447
2018-11-20,30.200001,30.700001,29.600000,29.799999,29.579998,13614135
2018-11-21,30.299999,31.900000,30.200001,31.230000,30.999441,20836428
2018-11-22,31.100000,31.600000,30.700001,30.840000,30.612322,13102011
2018-11-23,30.850000,31.340000,29.719999,29.950001,29.728893,16250955
2018-11-26,30.049999,30.760000,29.200001,29.700001,29.480738,16160386
2018-11-27,29.860001,31.020000,29.200001,30.950001,30.721510,17969947
2018-11-28,30.730000,30.879999,30.020000,30.510000,30.284758,11742247
2018-11-29,30.549999,31.469999,30.510000,30.910000,30.681805,15304399
2018-11-30,31.200001,31.660000,31.000000,31.299999,31.068924,12746739
2018-12-03,32.029999,32.860001,31.350000,32.549999,32.309696,17464085
2018-12-04,32.349998,33.529999,32.200001,33.389999,33.143494,16402756
2018-12-05,32.889999,33.869999,32.849998,33.189999,32.944969,15616263
2018-12-06,32.950001,33.540001,29.870001,29.870001,29.649483,14445701
2018-12-07,26.879999,27.780001,26.879999,26.879999,26.681555,26495396
2018-12-10,24.190001,25.129999,24.190001,24.190001,24.011415,76073746
2018-12-11,24.000000,24.910000,23.950001,24.490000,24.309200,38572966
2018-12-12,24.340000,24.370001,23.870001,24.160000,23.981636,23444813
2018-12-13,24.340000,24.400000,23.920000,24.150000,23.971710,23957567
2018-12-14,24.049999,24.129999,21.850000,22.680000,22.512564,48346443
2018-12-17,22.400000,23.040001,22.100000,22.670000,22.502638,19956141
2018-12-18,22.740000,23.160000,22.110001,22.320000,22.155220,26573676
2018-12-19,22.360001,22.469999,20.620001,21.080000,20.924376,45606324
2018-12-20,21.129999,21.260000,20.730000,21.090000,20.934301,25899290
2018-12-21,21.090000,21.150000,19.910000,20.379999,20.229542,39523312
2018-12-24,20.350000,20.860001,20.180000,20.690001,20.537254,24289456
2018-12-25,20.379999,20.719999,19.930000,20.510000,20.358583,20775702
2018-12-26,20.709999,21.049999,20.139999,20.219999,20.070724,21526606
2018-12-27,20.719999,20.760000,20.059999,20.100000,19.951611,22400569
2018-12-28,20.070000,21.100000,19.250000,20.809999,20.656368,42163735
2019-01-02,20.680000,20.700001,19.020000,19.070000,18.929214,37156920
2019-01-03,19.170000,19.350000,18.700001,18.760000,18.621504,22412968
2019-01-04,18.400000,19.469999,18.299999,19.379999,19.236925,30070784
2019-01-07,19.450001,19.510000,19.049999,19.200001,19.058256,24650635
2019-01-08,19.150000,19.469999,19.030001,19.180000,19.038403,17525232
2019-01-09,19.200001,19.570000,19.030001,19.200001,19.058256,21169653
2019-01-10,19.170000,19.180000,18.430000,18.469999,18.333643,29821737
2019-01-11,18.610001,18.750000,18.410000,18.469999,18.333643,16689332
2019-01-14,18.540001,18.600000,18.030001,18.100000,17.966375,15194973
2019-01-15,18.209999,18.510000,18.100000,18.469999,18.333643,20049051
2019-01-16,18.490000,19.280001,18.270000,19.059999,18.919287,34231589
2019-01-17,19.150000,20.500000,18.860001,20.129999,19.981388,56066970
2019-01-18,19.860001,21.170000,19.730000,21.000000,20.844967,44884453
2019-01-21,20.990000,21.840000,20.750000,21.150000,20.993858,45607747
2019-01-22,20.770000,20.879999,20.129999,20.350000,20.199764,27723582
2019-01-23,20.280001,20.330000,19.700001,19.990000,19.842422,19757787
2019-01-24,20.059999,20.280001,19.770000,20.000000,19.852348,17684145
2019-01-25,20.059999,20.860001,19.850000,20.170000,20.021093,23558238
2019-01-28,20.340000,20.350000,19.200001,19.360001,19.217073,23478906
2019-01-29,19.389999,20.250000,19.389999,19.879999,19.733234,25349956
2019-01-30,19.750000,20.139999,19.549999,19.700001,19.554564,13971993
2019-01-31,19.879999,20.340000,19.600000,20.340000,20.189838,19575719
2019-02-01,20.580000,21.200001,20.309999,20.959999,20.805260,24157007
2019-02-11,21.000000,21.850000,20.730000,21.700001,21.539799,24843987
2019-02-12,21.730000,22.889999,21.709999,22.879999,22.711086,32090733
2019-02-13,22.959999,22.990000,22.420000,22.760000,22.591972,27069374
2019-02-14,22.889999,22.889999,22.350000,22.580000,22.413301,19914230
2019-02-15,22.629999,22.650000,22.030001,22.209999,22.046032,21398111
2019-02-18,22.250000,23.180000,22.250000,23.160000,22.989019,27730397
2019-02-19,23.230000,23.299999,22.000000,22.309999,22.145294,42552914
2019-02-20,22.180000,22.180000,21.320000,21.590000,21.430611,45131752
2019-02-21,21.570000,22.209999,21.450001,21.740000,21.579502,35165067
2019-02-22,21.799999,22.290001,21.360001,22.290001,22.125443,33529546
2019-02-25,23.010000,23.139999,22.190001,22.990000,22.820274,59233800
2019-02-26,24.180000,25.290001,24.020000,24.100000,23.922081,85856062
2019-02-27,24.100000,24.930000,23.870001,24.430000,24.249643,44058677
2019-02-28,25.059999,26.270000,24.600000,25.830000,25.639309,58579409
2019-03-01,26.580000,26.850000,25.650000,25.950001,25.758423,41411549
2019-03-04,26.129999,26.600000,25.770000,26.190001,25.996651,52263473
2019-03-05,26.000000,26.250000,25.580000,26.240000,26.046282,31939294
2019-03-06,26.260000,26.879999,25.920000,26.160000,25.966871,33328078
2019-03-07,26.120001,26.139999,24.620001,25.320000,25.133074,49078494
2019-03-08,24.650000,25.250000,24.410000,24.420000,24.239717,30381918
2019-03-11,24.480000,25.540001,24.480000,25.510000,25.321671,29255489
2019-03-12,25.709999,26.440001,25.660000,26.110001,25.917242,40248003
2019-03-13,26.000000,26.090000,24.920000,25.080000,24.894846,28816175
2019-03-14,24.870001,25.610001,24.680000,25.059999,24.874992,21058965
2019-03-15,25.230000,25.709999,25.000000,25.469999,25.281965,19945245
2019-03-18,25.500000,26.600000,25.299999,26.580000,26.383772,36427273
2019-03-19,26.709999,26.850000,25.889999,26.090000,25.897388,25241708
2019-03-20,26.080000,26.530001,25.299999,25.780001,25.589678,28715966
2019-03-21,25.780001,25.920000,25.309999,25.780001,25.589678,19371737
2019-03-22,25.730000,25.730000,25.100000,25.549999,25.361374,18705322
2019-03-25,25.049999,26.090000,24.889999,25.490000,25.301819,26325584
2019-03-26,25.549999,26.000000,24.280001,24.450001,24.269497,28639417
2019-03-27,24.570000,24.959999,24.280001,24.799999,24.616911,19674967
2019-03-28,24.650000,24.990000,24.350000,24.770000,24.587133,15825922
2019-03-29,26.000000,26.660000,25.469999,26.500000,26.304361,53212663
2019-04-01,27.230000,28.820000,27.200001,28.090000,27.882624,56104455
2019-04-02,28.160000,28.350000,27.799999,27.969999,27.763508,29324399
2019-04-03,27.590000,28.500000,27.590000,28.219999,28.011663,25134938
2019-04-04,28.010000,28.500000,27.459999,27.690001,27.485577,23021786
2019-04-08,27.650000,27.750000,26.660000,26.980000,26.780817,32988471
2019-04-09,27.000000,27.700001,26.760000,27.680000,27.475651,22390648
2019-04-10,27.379999,28.280001,27.200001,27.990000,27.783361,26832665
2019-04-11,27.719999,28.139999,26.719999,26.900000,26.701408,26035854
2019-04-12,26.809999,27.049999,26.530001,26.820000,26.622000,14331057
2019-04-15,27.620001,27.629999,26.530001,26.549999,26.353992,16856545
2019-04-16,26.510000,26.959999,25.549999,26.879999,26.681555,19762313
2019-04-17,26.750000,26.959999,26.480000,26.910000,26.711334,13317777
2019-04-18,26.920000,26.980000,26.200001,26.270000,26.076061,16485143
2019-04-19,26.280001,26.830000,26.280001,26.549999,26.353992,11332946
2019-04-22,26.629999,26.709999,25.950001,26.200001,26.006577,14261132
2019-04-23,26.250000,26.469999,25.980000,26.110001,25.917242,9596913
2019-04-24,26.180000,26.730000,26.010000,26.650000,26.453255,15495471
2019-04-25,26.299999,27.080000,26.200001,26.219999,26.026428,17280924
2019-04-26,26.180000,26.500000,25.760000,26.070000,25.877537,16500553
2019-05-06,25.700001,26.100000,24.180000,24.920000,24.736027,29746110
2019-05-07,25.090000,25.400000,24.570000,25.070000,24.884918,16576602
2019-05-08,24.209999,25.500000,24.200001,24.879999,24.696321,17402191
2019-05-09,24.600000,25.080000,24.389999,24.480000,24.299274,12283106
2019-05-10,24.860001,25.200001,23.900000,25.030001,24.845215,19269409
2019-05-13,24.400000,25.070000,24.389999,24.990000,24.805510,9029599
2019-05-14,24.990000,25.620001,24.799999,24.809999,24.626839,16829908
2019-05-15,24.980000,26.080000,24.840000,25.980000,25.788200,21888022
2019-05-16,25.799999,26.049999,25.340000,25.840000,25.649235,16777207
2019-05-17,25.680000,25.709999,24.639999,24.760000,24.577208,18576725
2019-05-20,24.500000,25.110001,24.230000,24.440001,24.259571,17008821
2019-05-21,24.500000,25.030001,24.309999,24.700001,24.517651,12667086
2019-05-22,24.770000,24.770000,24.120001,24.350000,24.170235,11875595
2019-05-23,24.200001,24.200001,23.379999,23.389999,23.217321,15180493
2019-05-24,23.350000,23.990000,23.219999,23.719999,23.544886,11055725
2019-05-27,23.660000,24.190001,23.260000,23.910000,23.733482,13415494
2019-05-28,23.990000,24.370001,23.500000,24.370001,24.190088,14846582
2019-05-29,24.000000,24.200001,23.700001,23.780001,23.604443,10317844
2019-05-30,23.290001,23.480000,22.850000,23.020000,22.850054,18573052
2019-05-31,23.020000,23.180000,22.879999,22.980000,22.810349,11806546
2019-06-03,23.059999,23.100000,22.209999,22.420000,22.254482,18184119
2019-06-04,22.450001,22.750000,22.219999,22.379999,22.214777,11738471
2019-06-05,22.670000,22.760000,21.459999,21.469999,21.311495,23863383
2019-06-06,21.360001,21.410000,20.650000,20.660000,20.507477,28313140
2019-06-10,20.700001,21.139999,20.549999,21.000000,20.844967,16529597
2019-06-11,20.900000,21.700001,20.900000,21.670000,21.510019,18743080
2019-06-12,21.660000,21.780001,21.299999,21.500000,21.341274,14222546
2019-06-13,21.480000,21.730000,21.200001,21.559999,21.400831,8276434
2019-06-14,21.549999,21.830000,21.370001,21.450001,21.291645,11581232
2019-06-17,21.680000,22.700001,21.230000,21.400000,21.242012,14124072
2019-06-18,21.370001,21.620001,21.340000,21.500000,21.341274,8623056
2019-06-19,22.150000,22.190001,21.650000,21.680000,21.519947,12365427
2019-06-20,21.700001,22.600000,21.610001,22.350000,22.184999,18292878
2019-06-21,22.950001,22.959999,22.340000,22.340000,22.340000,16532077
2019-06-24,22.389999,22.670000,22.209999,22.360001,22.360001,8771133
2019-06-25,22.340000,22.430000,21.740000,21.900000,21.900000,11759115
2019-06-26,21.900000,22.370001,21.760000,22.230000,22.230000,10396498
2019-06-27,22.430000,22.770000,22.290001,22.639999,22.639999,14634144
2019-06-28,22.520000,23.170000,22.520000,23.020000,23.020000,15941092
2019-07-01,23.490000,24.120001,23.240000,24.010000,24.010000,26421040
2019-07-02,24.000000,24.559999,23.850000,24.150000,24.150000,20315119
2019-07-03,24.170000,24.420000,23.900000,24.020000,24.020000,17278753
2019-07-04,24.160000,24.160000,23.600000,23.860001,23.860001,12893098
2019-07-05,23.950001,24.410000,23.830000,24.280001,24.280001,15567051
2019-07-08,24.200001,24.690001,23.430000,24.540001,24.540001,21108274
2019-07-09,24.240000,24.700001,23.959999,24.219999,24.219999,16202069
2019-07-10,24.450001,25.270000,24.299999,24.830000,24.830000,30008674
2019-07-11,25.389999,25.879999,24.889999,25.420000,25.420000,38382235
2019-07-12,25.430000,25.820000,24.990000,25.070000,25.070000,26121150
2019-07-15,25.360001,25.860001,25.250000,25.600000,25.600000,31678365
2019-07-16,25.680000,25.770000,25.110001,25.680000,25.680000,19682279
2019-07-17,25.590000,25.590000,25.090000,25.180000,25.180000,15672558
2019-07-18,25.000000,25.370001,24.480000,24.920000,24.920000,18335423
2019-07-19,25.110001,25.590000,25.110001,25.530001,25.530001,18040330
2019-07-22,25.889999,25.900000,24.700001,24.950001,24.950001,16864777
2019-07-23,25.020000,25.629999,25.010000,25.389999,25.389999,14187816
