Date,Open,High,Low,Close,Adj Close,Volume
2018-11-01,25.139999,26.139999,24.809999,25.459999,24.838013,90193912
2018-11-02,28.000000,28.010000,27.200001,28.010000,27.325716,158259248
2018-11-05,28.000000,28.490000,27.730000,28.230000,27.540340,94430466
2018-11-06,28.379999,28.379999,27.090000,27.600000,26.925734,50125504
2018-11-07,27.650000,28.000000,27.049999,27.139999,26.476971,44375780
2018-11-08,27.459999,27.510000,26.900000,26.940001,26.281857,29817896
2018-11-09,27.000000,27.010000,26.209999,26.350000,25.706270,40346953
2018-11-12,26.469999,28.000000,26.320000,27.780001,27.101336,59631871
2018-11-13,27.000000,28.480000,26.900000,28.200001,27.511076,55845337
2018-11-14,28.100000,28.200001,27.320000,27.500000,26.828176,40686869
2018-11-15,27.280001,27.900000,27.200001,27.860001,27.179382,28984649
2018-11-16,27.990000,29.469999,27.719999,28.799999,28.096416,60566837
2018-11-19,28.700001,29.620001,28.500000,29.270000,28.554935,51303927
2018-11-20,28.200001,28.200001,26.580000,26.719999,26.067230,106721593
2018-11-21,26.280001,26.969999,25.650000,26.520000,25.872118,48169230
2018-11-22,26.690001,26.920000,26.440001,26.780001,26.125767,22484974
2018-11-23,26.510000,26.650000,25.799999,26.360001,25.716026,39956777
2018-11-26,26.020000,26.629999,26.020000,26.440001,25.794071,19292929
2018-11-27,26.000000,26.059999,25.400000,25.719999,25.091660,37769486
2018-11-28,25.850000,26.870001,25.580000,26.719999,26.067230,44789560
2018-11-29,27.290001,27.379999,26.120001,26.320000,25.677002,36022482
2018-11-30,26.280001,27.209999,26.100000,27.170000,26.506237,33767722
2018-12-03,29.620001,29.889999,28.400000,29.250000,28.535423,98426281
2018-12-04,29.219999,29.340000,28.420000,28.809999,28.106173,38890048
2018-12-05,28.100000,28.730000,27.820000,28.450001,27.754969,30261168
2018-12-06,27.320000,27.730000,26.879999,27.150000,26.486725,62379407
2018-12-07,27.100000,27.639999,27.100000,27.309999,26.642817,23475181
2018-12-10,26.830000,27.250000,26.180000,26.780001,26.125767,31758236
2018-12-11,26.410000,26.870001,26.379999,26.870001,26.213568,29263529
2018-12-12,27.129999,27.520000,26.990000,27.430000,26.759886,42253966
2018-12-13,27.469999,28.240000,27.320000,28.200001,27.511076,45944189
2018-12-14,28.200001,28.350000,27.790001,27.969999,27.286694,29455604
2018-12-17,27.549999,27.950001,27.330000,27.740000,27.062313,18869526
2018-12-18,27.330000,27.879999,27.049999,27.219999,26.555016,26016277
2018-12-19,27.230000,27.469999,26.910000,27.150000,26.486725,17771589
2018-12-20,27.040001,27.320000,26.770000,26.930000,26.272100,24593408
2018-12-21,26.780001,26.930000,25.910000,26.049999,25.413599,30415910
2018-12-24,26.070000,26.600000,25.930000,26.190001,25.550179,14353251
2018-12-25,25.750000,26.240000,25.299999,26.120001,25.481890,20016294
2018-12-26,26.190001,26.340000,25.799999,25.910000,25.277020,14960325
2018-12-27,26.600000,26.620001,25.799999,25.799999,25.169706,23015611
2018-12-28,26.010000,26.219999,25.520000,25.760000,25.130684,16379982
