Date,Open,High,Low,Close,Adj Close,Volume
2018-11-01,24.428600,25.492901,24.400000,24.757099,24.657833,12879899
2018-11-02,25.285700,25.628599,25.049999,25.592899,25.490282,10998335
2018-11-05,25.707100,25.707100,25.042900,25.592899,25.490282,7186842
2018-11-06,25.635700,26.978600,25.592899,26.257099,26.151819,14312446
2018-11-07,25.714300,26.400000,25.392900,25.735701,25.632511,9468415
2018-11-08,25.992901,26.128599,25.428600,25.714300,25.611197,7328702
2018-11-09,25.635700,25.678600,25.107100,25.357100,25.255428,5986246
2018-11-12,25.164301,26.185699,25.164301,26.185699,26.080706,7466623
2018-11-13,25.828600,26.535700,25.664301,26.200001,26.094950,8486279
2018-11-14,26.000000,26.692900,25.799999,26.428600,26.322632,8578491
2018-11-15,26.071400,27.135700,26.071400,27.128599,27.019825,10239491
2018-11-16,27.142900,27.764299,26.750000,27.378599,27.268822,10511281
2018-11-19,27.185699,27.278601,26.799999,26.992901,26.884670,6510655
2018-11-20,26.778601,27.371401,26.342899,26.450001,26.343946,8556139
2018-11-21,25.885700,26.307100,25.792900,26.207100,26.102020,5215151
2018-11-22,26.357100,26.528601,26.107100,26.278601,26.173233,3515219
2018-11-23,26.257099,26.278601,24.871401,24.871401,24.771677,7077129
2018-11-26,24.892900,25.185699,24.507099,24.700001,24.600964,4190413
2018-11-27,24.857100,25.335699,24.785700,24.964300,24.864202,3666582
2018-11-28,25.092899,25.535700,24.857100,25.457100,25.355026,4964621
2018-11-29,25.750000,25.864300,25.000000,25.000000,24.899759,4368582
2018-11-30,25.007099,25.071400,24.092899,24.978600,24.878445,4004225
2018-12-03,25.714300,26.128599,25.428600,26.128599,26.023834,8086897
2018-12-04,25.821400,26.142900,25.742901,25.992901,25.888680,5062144
2018-12-05,25.500000,25.700001,25.385700,25.457100,25.355026,4073314
2018-12-06,25.357100,25.485701,24.714300,24.735701,24.636520,4876442
2018-12-07,24.928600,25.299999,24.807100,25.092899,24.992287,3343845
2018-12-10,24.500000,24.964300,24.357100,24.535700,24.437321,3137008
2018-12-11,24.557100,24.914301,24.557100,24.799999,24.700562,1999677
2018-12-12,24.828600,24.864300,24.492901,24.535700,24.437321,2214488
2018-12-13,24.642900,24.971399,24.385700,24.814301,24.714806,3026149
2018-12-14,24.557100,24.735701,23.799999,23.907101,23.811243,4110967
2018-12-17,23.807100,24.085699,23.607100,23.792900,23.697500,3069060
2018-12-18,23.792900,23.950001,23.307100,23.442900,23.348904,3495234
2018-12-19,23.578600,23.671400,23.078600,23.171400,23.078491,2804068
2018-12-20,23.100000,23.392900,22.964300,23.292900,23.199505,2589042
2018-12-21,23.264299,23.264299,22.335699,22.535700,22.445341,5190718
2018-12-24,22.500000,23.071400,22.371401,23.057100,22.964651,4425354
2018-12-25,22.921400,23.150000,22.157101,23.142900,23.050106,5292010
2018-12-26,22.857100,23.085699,22.742901,22.742901,22.651711,3814437
2018-12-27,23.157101,23.214300,22.350000,22.350000,22.260386,4218679
2018-12-28,22.392900,22.714300,22.114300,22.328600,22.239071,3336978
2019-01-02,22.464300,22.635700,22.271400,22.428600,22.338671,2696252
2019-01-03,22.299999,22.707100,22.185699,22.235701,22.146544,2710855
2019-01-04,22.071400,22.885700,21.792900,22.778601,22.687267,5320263
2019-01-07,22.892900,23.414301,22.785700,23.350000,23.256376,7015678
2019-01-08,23.264299,23.492901,23.000000,23.078600,22.986063,4245416
2019-01-09,23.214300,23.714300,23.057100,23.157101,23.064249,6570170
2019-01-10,23.057100,23.185699,22.628599,22.721399,22.630295,6366995
2019-01-11,22.942900,23.192900,22.857100,23.171400,23.078491,5867421
2019-01-14,23.178600,23.328600,22.892900,23.021400,22.929094,3707690
2019-01-15,23.014299,23.414301,22.914301,23.414301,23.320419,5264711
2019-01-16,23.428600,23.842899,23.292900,23.492901,23.398705,6948256
2019-01-17,23.428600,23.478600,22.764299,22.771400,22.680096,5453854
2019-01-18,22.750000,23.042900,22.621401,22.928600,22.836666,5135017
2019-01-21,22.928600,23.407101,22.907101,23.235701,23.142534,5401480
2019-01-22,23.235701,23.314301,22.914301,23.000000,22.907780,3762966
2019-01-23,22.964300,22.964300,22.442900,22.664301,22.573425,3825311
2019-01-24,22.650000,23.785700,22.521400,23.492901,23.398705,10801581
2019-01-25,23.428600,23.685699,23.121401,23.228600,23.135462,5903539
2019-01-28,23.292900,23.642900,23.214300,23.285700,23.192333,4465917
2019-01-29,23.021400,23.214300,22.435699,22.878599,22.786865,4751726
2019-01-30,22.828600,22.985701,21.942900,22.014299,21.926031,6527952
2019-01-31,22.014299,22.428600,21.735701,21.885700,21.797947,4589005
2019-02-01,21.900000,22.357100,21.892900,22.307100,22.217657,4478652
