Date,Open,High,Low,Close,Adj Close,Volume
2018-11-01,22.980000,23.586700,22.799999,23.020000,22.799713,25815729
2018-11-02,23.480000,24.573299,23.333300,24.473301,24.239105,28723174
2018-11-05,24.366699,24.933300,23.633301,24.600000,24.364594,27774912
2018-11-06,24.666700,24.940001,24.166700,24.893299,24.655085,23055562
2018-11-07,24.840000,24.840000,24.200001,24.200001,23.968422,21025372
2018-11-08,24.406700,24.799999,24.073299,24.133301,23.902359,20515815
2018-11-09,23.733299,24.379999,23.266701,24.000000,23.770334,18947144
2018-11-12,24.133301,24.780001,23.586700,24.766701,24.529697,24303662
2018-11-13,24.433300,25.326700,24.400000,24.893299,24.655085,28105928
2018-11-14,24.866699,25.600000,24.573299,25.340000,25.097511,25820376
2018-11-15,25.200001,25.393299,24.846701,25.373301,25.130493,16429388
2018-11-16,25.246700,25.326700,24.086700,24.500000,24.265549,33349290
2018-11-19,24.459999,24.853300,24.333300,24.413300,24.179678,17895459
2018-11-20,24.346701,25.373301,24.299999,24.966700,24.727783,26236352
2018-11-21,24.500000,26.440001,24.200001,26.126699,25.876682,43700146
2018-11-22,26.013300,26.260000,25.526699,26.080000,25.830429,23511818
2018-11-23,25.860001,26.373301,25.340000,25.686701,25.440895,22903074
2018-11-26,25.686701,26.120001,25.066700,25.580000,25.335215,19040906
2018-11-27,25.933300,26.053301,24.879999,25.480000,25.236172,18984459
2018-11-28,25.333300,25.666700,25.059999,25.593300,25.348387,15600351
2018-11-29,25.766701,25.973301,24.833300,24.853300,24.615469,20981466
2018-11-30,24.666700,25.299999,24.466700,25.186701,24.945679,13976828
2018-12-03,25.719999,26.420000,25.273300,26.213301,25.962456,28020506
2018-12-04,26.006701,26.566700,25.920000,26.440001,26.186985,23766208
2018-12-05,26.146700,27.000000,26.033300,26.906700,26.649220,23706021
2018-12-06,26.613300,27.006701,25.506701,25.620001,25.374832,31992398
2018-12-07,25.799999,25.840000,24.600000,25.186701,24.945679,25520844
2018-12-10,24.913300,25.433300,24.600000,25.166700,24.925871,17835538
2018-12-11,25.253300,25.466700,24.660000,25.233299,24.991831,13830924
2018-12-12,25.206699,25.366699,24.733299,25.006701,24.767401,11332006
2018-12-13,25.040001,25.440001,24.686701,25.373301,25.130493,18120501
2018-12-14,25.133301,25.133301,22.833300,22.833300,22.614798,72034158
2018-12-17,22.400000,22.700001,21.933300,22.353300,22.139393,30704788
2018-12-18,22.360001,22.799999,22.266701,22.386700,22.172472,16908254
2018-12-19,22.566700,22.606701,21.386700,21.600000,21.393301,26213194
2018-12-20,21.600000,21.853300,21.346701,21.526699,21.320702,16125496
2018-12-21,21.513300,21.660000,21.120001,21.433300,21.228195,15151576
2018-12-24,21.340000,22.066700,21.206699,21.980000,21.769665,14502963
2018-12-25,21.660000,22.100000,21.586700,22.066700,21.855536,14179113
2018-12-26,21.966700,22.373301,21.966700,22.166700,21.954578,13294224
2018-12-27,22.433300,22.533300,21.866699,21.866699,21.657448,12259838
2018-12-28,21.866699,22.066700,21.666700,21.866699,21.657448,8986204
2019-01-02,21.733299,21.959999,19.740000,19.926701,19.736013,41089220
